mae_mean	mae_single
5.6702831909194895	5.654634934920708
5.627677590912665	5.6287580984779995
5.408216523454803	5.438023163694243
5.887165876222759	5.82927000161969
5.496221926019981	5.566180437165732
5.849234448501383	5.879681528331128
5.208833040491893	5.212266047087503
5.832081553165712	5.849699862420666
5.5526941982434375	5.391680211982043
6.2545116943588654	6.256946762106393
5.823948214309898	5.816167377956525
5.608275984589439	5.603559325587972
5.776801207606305	5.777790326175969
5.701736371510807	5.707315834167782
5.938452051736406	5.941746794600251
5.490684632408686	5.519442390807955
5.672236131740041	5.6705317606903884
5.928776564536084	5.9292967801662915
5.164952834462667	5.167988570611897
5.6846617665130275	5.688277068322729
5.720998353550001	5.667104028249932
5.5550147232965195	5.558038590544104
5.345205000931433	5.397930349043509
5.583062547085702	5.69333409770609
5.753535980120841	5.855147283145154
5.999410950873608	6.008691721259694
5.6667223517291605	5.6574279445523725
5.3287041757687605	5.3905721801260436
5.430853943436564	5.392227380195134
5.848093483532639	6.383730834363131
5.425647020166695	5.437076818149048
5.347052163805702	5.438268600147839
5.8385356249093805	5.839057536707262
4.954689637100217	4.927024164323874
5.451857338368646	5.538932030122643
5.825113431417857	5.968451793293763
5.712350403366881	5.891156617281813
5.501071764825278	5.639258642391652
5.914092604415177	5.916239624981546
5.934812592463899	5.9273452385057706
5.629056837472785	5.62950974084845
5.355827641196017	5.355827641196017
5.8912030001783044	5.893160127413259
5.7807612846026295	5.829796727229492
5.715157628134532	5.693852732331297
5.467018568026711	5.455226390961028
5.727212261287835	5.740599767281189
5.650978534282423	5.617469181447305
4.933995564130424	4.935687537775409
5.568075784812122	5.560632181124289
5.522645736399729	5.521504574714369
5.245478599456663	5.234960680950732
5.696766239483983	5.660331362414584
5.083246954703579	5.083568953096517
6.187657766480767	6.5990135318961425
5.641525850211648	5.654896128128912
5.6212424667111955	5.557468493401696
5.990467436560743	6.004487999506736
5.487127279810418	5.6124209912473315
6.018192441648064	5.8425103781581385
6.0447142424243125	6.025235016901332
5.69139505607553	5.683704104712459
4.831233359964292	4.845649891598693
5.92196829055265	5.92196829055265
5.8293216761061215	5.832593021227623
4.961512542534356	5.007166289368006
6.128344452649958	6.068834115473148
6.125210421752519	6.1233887270068665
5.960560202617655	6.004568956173382
