MatchedGene,Gene description
SFTPD,Surfactant protein D
AGER,Advanced glycosylation end-product specific receptor
CCL18,C-C motif chemokine ligand 18
LRRK2,Leucine rich repeat kinase 2
MSR1,Macrophage scavenger receptor 1
